manufacturer,model_number,description,power_rating,weighted_efficiency
"Advanced Energy Industries, INC.",3159000-104,333 kW 480 Vac Three Phase Utility Interactive Inverter,333000,0.97
"Alpha Technologies, Inc.",Solaris 3500 XP,"3.5 kW, 240 Vac, NEMA-3R, Grid Interactive PV Inverter & Batt. Backed UPS, MPPT",3500,0.905
Ballard Power Systems Corporation,EPC-PV-208-30kW,Utility Interactive 208V 30kW PV Power Converter System,30000,0.93
Ballard Power Systems Corporation,EPC-PV-208-75kW,Utility Interactive 75kW PV Power Converter System,75000,0.915
Ballard Power Systems Corporation,EPC-PV-480-30kW,Utility Interactive 480V 30kW PV Power Converter System,30000,0.93
Ballard Power Systems Corporation,EPC-PV-480-75KW,Utility Interactive 480V 75kW PV Power Converter System,75000,0.915
Beacon Power Corporation,M4,4 kW Power Conversion System,4000,0.9
Beacon Power Corporation,M4 Plus,4 kW Power Conversion System with Meter,4000,0.915
Beacon Power Corporation,M5,5 kW Power Conversion System,5000,0.89
Beacon Power Corporation,M5 Plus,5 kW Power Conversion System with Meter,5000,0.9
Bergey Windpower Co.,Gridtek 10,"10kW, 240Vac split-phase, utility interactive inverter",10000,0.91
Connect Renewable Energy,CE 4000,"3000W Grid Tied, 240Vac, low dc voltage Inverter",2850,0.93
"Fronius USA, LLC",IG 2000,2000W Grid-tied unit with Integrated Disconnects and Performance Meter,2000,0.935
"Fronius USA, LLC",IG 2000 NEG,2000W Grid-tied unit with Integrated Disconnects and Performance Meter,2000,0.935
"Fronius USA, LLC",IG 2000 POS,2000W Grid-tied unit with Integrated Disconnects and Performance Meter,2000,0.935
"Fronius USA, LLC",IG 2500-LV,2350W Grid-tied unit with Integrated Disconnects and Performance Meter,2350,0.93
"Fronius USA, LLC",IG 2500-LV NEG,2350W Grid-tied unit with Integrated Disconnects and Performance Meter,2350,0.93
"Fronius USA, LLC",IG 2500-LV POS,2350W Grid-tied unit with Integrated Disconnects and Performance Meter,2350,0.93
"Fronius USA, LLC",IG 3000,2700W Grid-tied unit with Integrated Disconnects and Performance Meter,2700,0.94
"Fronius USA, LLC",IG 3000 NEG,2700W Grid-tied unit with Integrated Disconnects and Performance Meter,2700,0.94
"Fronius USA, LLC",IG 3000 POS,2700W Grid-tied unit with Integrated Disconnects and Performance Meter,2700,0.94
"Fronius USA, LLC",IG 4000,4000W Grid-tied unit with Integrated Disconnects and Performance Meter,4000,0.94
"Fronius USA, LLC",IG 4000 NEG,4000W Grid-tied unit with Integrated Disconnects and Performance Meter,4000,0.94
"Fronius USA, LLC",IG 4000 POS,4000W Grid-tied unit with Integrated Disconnects and Performance Meter,4000,0.94
"Fronius USA, LLC",IG 4500-LV,4500W Grid-tied unit with Integrated Disconnects and Performance Meter,4500,0.935
"Fronius USA, LLC",IG 4500-LV NEG,4500W Grid-tied unit with Integrated Disconnects and Performance Meter,4500,0.935
"Fronius USA, LLC",IG 4500-LV POS,4500W Grid-tied unit with Integrated Disconnects and Performance Meter,4500,0.935
"Fronius USA, LLC",IG 5100,5100W Grid-tied unit with Integrated Disconnects and Performance Meter,5100,0.945
"Fronius USA, LLC",IG 5100 NEG,5100W Grid-tied unit with Integrated Disconnects and Performance Meter,5100,0.945
"Fronius USA, LLC",IG 5100 POS,5100W Grid-tied unit with Integrated Disconnects and Performance Meter,5100,0.945
GE Energy,GEPVb-2500-NA-240,2.5 kW Brilliance – DC Disconnect - Display,2500,0.94
GE Energy,GEPVb-2800-NA-240/208-02 (208V),"2.7 kW, 208 Vac, 195-600Vdc Grid Tie Inverter",2700,0.935
GE Energy,GEPVb-2800-NA-240/208-02 (240V),"2.8 kW, 240 Vac, 195-600Vdc Grid Tie Inverter",2800,0.94
GE Energy,GEPVb-3000-NA-240,3.0 kW Brilliance – DC Disconnect - Display,3000,0.945
GE Energy,GEPVb-3300-NA-208,3.3 kW Brilliance – DC Disconnect - Display,3300,0.94
GE Energy,GEPVb-3300-NA-240,3.3 kW Brilliance – DC Disconnect - Display,3300,0.945
GE Energy,GEPVb-3300-NA-240/208-02 (208V),"3.1 kW, 208 Vac, 195-600Vdc Grid Tie Inverter",3100,0.95
GE Energy,GEPVb-3300-NA-240/208-02 (240V),"3.3 kW, 240 Vac, 195-600Vdc Grid Tie Inverter",3300,0.955
GE Energy,GEPVb-3800-NA-240,3.8 kW Brilliance – DC Disconnect - Display,3800,0.95
GE Energy,GEPVb-4000-NA-240/208-02 (208V),"3.8 kW, 208 Vac, 195-600Vdc Grid Tie Inverter",3800,0.95
GE Energy,GEPVb-4000-NA-240/208-02 (240V),"4.0 kW, 240 Vac, 195-600Vdc Grid Tie Inverter",4000,0.955
GE Energy,GEPVb-5000-NA-240/208-02 (240V),"5.0 kW, 240 Vac, 195-600Vdc Grid Tie Inverter",5000,0.955
GE Energy,GEPVb-5000-NA-240-01,NA,5000,0.955
GridPoint,Connect C36,3600 W Utility Interactive (w/ battery backup) 48Vdc Inverter,3037,0.91
Kaco,1501xi,"1.5 kW, 240 Vac, 125-400Vdc Utility Interactive Inverter",1500,0.94
Kaco,2901xi,"2.9 kW, 240 Vac, 125-400Vdc Utility Interactive Inverter",2864,0.94
Kaco,3601xi,"3.6 kW, 240 Vac, 125-400Vdc Utility Interactive Inverter",3600,0.935
Magnetek,PVI-3000-I-OUTD-US,"3 kW, 150-600 VDC Utility Interactive Inverter",2520,0.92
Magnetek,PVI-3000-I-OUTD-US (208V),"3 kW, 150-600 VDC Utility Interactive Inverter",2500,0.905
Magnetek,PVI-3000-I-OUTD-US-F (208V),"3 kW, 150-600 VDC Utility Interactive Inverter",2700,0.905
Magnetek,PVI-3000-I-OUTD-US-F (240V),"3 kW, 150-600 VDC Utility Interactive Inverter",3000,0.91
Magnetek,PVI-3600-OUTD-US-F (208V),"3.3 kW, 150-600 VDC Utility Interactive Inverter",3300,0.945
Magnetek,PVI-3600-OUTD-US-F (240V),"3.6 kW, 150-600 VDC Utility Interactive Inverter",3600,0.95
Magnetek,PVI-3600-US (208V),"3.3 kW, 150-600 VDC Utility Interactive Inverter",3300,0.94
Magnetek,PVI-3600-US (240V),"3.6 kW, 150-600 VDC Utility Interactive Inverter",3600,0.945
OutBack Power Systems,GVFX 3648,3600 W Utility Interactive (w/ battery backup) 48vdc Inverter,3037,0.91
Power-One,PVI-5000-OUTD-US (208 V),5 kW (208Vac) Utility Interactive Inverter,5000,0.96
Power-One,PVI-5000-OUTD-US (240 V),5 kW (240Vac) Utility Interactive Inverter,5000,0.965
Power-One,PVI-5000-OUTD-US (277 V),5 kW (277Vac) Utility Interactive Inverter,5000,0.965
Power-One,PVI-6000-OUTD-US (208 V),6 kW (208Vac) Utility Interactive Inverter,6000,0.96
Power-One,PVI-6000-OUTD-US (240 V),6 kW (240Vac) Utility Interactive Inverter,6000,0.965
Power-One,PVI-6000-OUTD-US (277 V),6 kW (277Vac) Utility Interactive Inverter,6000,0.965
PV Powered LLC,PVP1800,1800W Utility Interactive Inverter,1800,0.92
PV Powered LLC,PVP2000,2000W (120Vac) Utility Interactive Inverter,2000,0.93
PV Powered LLC,PVP2500,2500W (240Vac) Utility Interactive Inverter,2500,0.945
PV Powered LLC,PVP2800-208,2800W (208Vac) Utility Interactive Inverter,2800,0.94
PV Powered LLC,PVP2800-240,2800W (240Vac) Utility Interactive Inverter,2800,0.94
PV Powered LLC,PVP2800-XV,2800W (240Vac) Utility Interactive Inverter - expanded voltage version,2800,0.945
PV Powered LLC,PVP2900-208 or PVP2900,2900W (208Vac) Utility Interactive Inverter,2900,0.94
PV Powered LLC,PVP30KW-208,30kW (208Vac) 3-Phase Utility Interactive Inverter,30000,0.94
PV Powered LLC,PVP30KW-480,30kW (480Vac) 3-Phase Utility Interactive Inverter,30000,0.94
PV Powered LLC,PVP3200-240 or PVP3200,3200W (240Vac) Utility Interactive Inverter,3200,0.945
PV Powered LLC,PVP3500,3500W (240Vac) Utility Interactive Inverter,3500,0.955
PV Powered LLC,PVP4600,4600W (208Vac) Utility Interactive Inverter,4600,0.955
PV Powered LLC,PVP4800,4800W (240Vac) Utility Interactive Inverter,4800,0.96
PV Powered LLC,PVP5200,5200W (240Vac) Utility Interactive Inverter,5200,0.96
SatCon Power Systems Canada Ltd.,AE-100-60-PV-A,100kW 480Vac Three phase Utility Interactive inverter,100000,0.945
SatCon Power Systems Canada Ltd.,AE-100-60-PV-D,100kW 208Vac Three phase Utility Interactive inverter,100000,0.945
SatCon Power Systems Canada Ltd.,AE-100-60-PV-F,100kW 240Vac Three phase Utility Interactive inverter,100000,0.95
SatCon Power Systems Canada Ltd.,AE-135-60-PV-A,135 kW 480Vac Three Phase Utility Interactive Inverter,135000,0.955
SatCon Power Systems Canada Ltd.,AE-135-60-PV-D,135 kW 208Vac Three Phase Utility Interactive Inverter,135000,0.95
SatCon Power Systems Canada Ltd.,AE-225-60-PV-A,225kW 480Vac Three Phase Utility Interactive Inverter,225000,0.945
SatCon Power Systems Canada Ltd.,AE-225-60-PV-D,225 kW 208Vac Three Phase Utility Interactive Inverter,225000,0.955
SatCon Power Systems Canada Ltd.,AE-30-60-PV-A,30 kW 480Vac Three Phase Utility Interactive Inverter,30000,0.93
SatCon Power Systems Canada Ltd.,AE-30-60-PV-D,30 kW 208Vac Three Phase Utility Interactive Inverter,30000,0.925
SatCon Power Systems Canada Ltd.,AE-30-60-PV-E,30 kW 240Vac Single Phase Utility Interactive Inverter,30000,0.93
SatCon Power Systems Canada Ltd.,AE-500-60-PV-A,500 kW 480Vac Three Phase Utility Interactive Inverter,500000,0.95
SatCon Power Systems Canada Ltd.,AE-50-60-PV-A,50 kW 480Vac Three Phase Utility Interactive Inverter,50000,0.93
SatCon Power Systems Canada Ltd.,AE-50-60-PV-D,50 kW 208Vac Three Phase Utility Interactive Inverter,50000,0.945
SatCon Power Systems Canada Ltd.,AE-50-60-PV-F,50 kW 240Vac Three Phase Utility Interactive Inverter,50000,0.93
SatCon Power Systems Canada Ltd.,AE-75-60-PV-A,75 kW 480Vac Three Phase Utility Interactive Inverter,75000,0.955
