manufacturer,model_number,description,stc_rating,ptc_rating
Alps Technology Inc,ATI 1000-110,110W Large Scale Dual Voltage Multi-Si Module,110,99.1
Alps Technology Inc,ATI 1000-120,120W Large Scale Dual Voltage Multi-Si Module,120,108.3
Alps Technology Inc,ATI 1650-155,155W Large Scale Dual Voltage Multi-Si Module,155,139.9
Alps Technology Inc,ATI 1650-165,165W Large Scale Dual Voltage Multi-Si Module,165,149.1
Alps Technology Inc,ATI 1650-175,175W Large Scale Dual Voltage Multi-Si Module,175,158.3
Alps Technology Inc,ATI 750-75,75W Large Scale multi-Si Module,75,67.5
Alps Technology Inc,ATI 750-80,80W Large Scale multi-Si Module,80,72
Alps Technology Inc,ATI 750-85,85W Large Scale multi-Si Module,85,76.6
"AstroPower, Inc.",AP-100,100W Single Crystal Module (was AP-1006),100,88
"AstroPower, Inc.",AP-1006,100W Single Crystal Module,100,88
"AstroPower, Inc.",AP-110,110W Single Crystal Module (was AP-1106),110,97
"AstroPower, Inc.",AP-1106,110W Single Crystal Module,110,97
"AstroPower, Inc.",AP-120,120W Single Crystal Module (was AP-1206),120,106
"AstroPower, Inc.",AP-1206,120W Single Crystal Module,120,106
"Astropower, Inc.",AP-50-GA,50W Single Crystal Module,50,44
"AstroPower, Inc.",AP-50-GT,50W Single Crystal Module,50,44
"AstroPower, Inc.",AP-55-GA,55W Single Crystal Module,55,48.5
"AstroPower, Inc.",AP-55-GT,55W Single Crystal Module,55,48.5
"AstroPower, Inc.",AP-6105,65W Single Crystal Module,65,57.2
"AstroPower, Inc.",AP6-160,160W Single Crystal Module,160,141.1
"AstroPower, Inc.",AP6-170,170W Single Crystal Module,170,150.1
"AstroPower, Inc.",AP-65,65W Single Crystal Module (was AP-6105),65,57.2
"AstroPower, Inc.",AP-7105,75W Single Crystal Module,75,66.2
"AstroPower, Inc.",AP-75,75W Single Crystal Module (was AP-7105),75,66.2
"AstroPower, Inc.",APi-030-MNA,30W Single Crystal Module w/o connectors (was AP-30),30,26.5
"AstroPower, Inc.",APi-030-MNB,30W Single Crystal Module w/o connectors (was AP-30) B,30,26.5
"AstroPower, Inc.",APi-045-MNA,45W Single Crystal Module w/o connectors (was AP-45),45,39.7
"AstroPower, Inc.",APi-045-MNB,45W Single Crystal Moduel w/o connectors (was AP-45) B,45,39.7
"AstroPower, Inc.",APi-050-MNA,50W Single Crystal Module w/o connectors (was AP-50),50,44.2
"AstroPower, Inc.",APi-050-MNB,50W Single Crystal Module w/o connectors (was AP-50) B,50,44.2
