utility_id,name,state,rate,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,summer_starting_month,summer_ending_month,nox_rate,so2_rate,co2_rate,mercury_rate,percent_coal,percent_oil,percent_gas,percent_nuclear,percent_hydro,percent_biomass,percent_wind,percent_solar,percent_geothermal,percent_other,percent_unknown
207,City of Alameda,CA,0.12978,0.0961636,0.0861542,0.08547,0.0742531,0.0698817,0.0796672,0.0924716,0.0975931,0.0818743,0.069971,0.0738192,0.0926809,5,10,0.00195478,0.00139621,1.21806,1.43015e-08,42.9196,0.247558,19.6517,8.30181,26.1797,0.830509,0.595576,0.0247224,1.06666,0.15131,0.15131
590,City of Anaheim,CA,0.0972211,0.0961636,0.0861542,0.08547,0.0742531,0.0698817,0.0796672,0.0924716,0.0975931,0.0818743,0.069971,0.0738192,0.0926809,5,10,0.00195478,0.00139621,1.21806,1.43015e-08,42.9196,0.247558,19.6517,8.30181,26.1797,0.830509,0.595576,0.0247224,1.06666,0.15131,0.15131
2507,City of Burbank Water and Power,CA,0.132426,0.0961636,0.0861542,0.08547,0.0742531,0.0698817,0.0796672,0.0924716,0.0975931,0.0818743,0.069971,0.0738192,0.0926809,5,10,0.00195478,0.00139621,1.21806,1.43015e-08,42.9196,0.247558,19.6517,8.30181,26.1797,0.830509,0.595576,0.0247224,1.06666,0.15131,0.15131
4003,City of Colton,CA,0.128526,0.0961636,0.0861542,0.08547,0.0742531,0.0698817,0.0796672,0.0924716,0.0975931,0.0818743,0.069971,0.0738192,0.0926809,5,10,0.00195478,0.00139621,1.21806,1.43015e-08,42.9196,0.247558,19.6517,8.30181,26.1797,0.830509,0.595576,0.0247224,1.06666,0.15131,0.15131
7294,City of Glendale,CA,0.143234,0.0961636,0.0861542,0.08547,0.0742531,0.0698817,0.0796672,0.0924716,0.0975931,0.0818743,0.069971,0.0738192,0.0926809,5,10,0.00195478,0.00139621,1.21806,1.43015e-08,42.9196,0.247558,19.6517,8.30181,26.1797,0.830509,0.595576,0.0247224,1.06666,0.15131,0.15131
14401,City of Palo Alto,CA,0.0929241,0.0961636,0.0861542,0.08547,0.0742531,0.0698817,0.0796672,0.0924716,0.0975931,0.0818743,0.069971,0.0738192,0.0926809,5,10,0.00195478,0.00139621,1.21806,1.43015e-08,42.9196,0.247558,19.6517,8.30181,26.1797,0.830509,0.595576,0.0247224,1.06666,0.15131,0.15131
14534,City of Pasadena,CA,0.120293,0.0868666,0.0705957,0.0817058,0.0663665,0.075682,0.0649617,0.102751,0.102754,0.121358,0.0794886,0.0816136,0.0658575,5,10,0.00195478,0.00139621,1.21806,1.43015e-08,42.9196,0.247558,19.6517,8.30181,26.1797,0.830509,0.595576,0.0247224,1.06666,0.15131,0.15131
15783,City of Redding,CA,0.0990335,0.0961636,0.0861542,0.08547,0.0742531,0.0698817,0.0796672,0.0924716,0.0975931,0.0818743,0.069971,0.0738192,0.0926809,5,10,0.00195478,0.00139621,1.21806,1.43015e-08,42.9196,0.247558,19.6517,8.30181,26.1797,0.830509,0.595576,0.0247224,1.06666,0.15131,0.15131
16088,City of Riverside,CA,0.111694,0.0961636,0.0861542,0.08547,0.0742531,0.0698817,0.0796672,0.0924716,0.0975931,0.0818743,0.069971,0.0738192,0.0926809,5,10,0.00195478,0.00139621,1.21806,1.43015e-08,42.9196,0.247558,19.6517,8.30181,26.1797,0.830509,0.595576,0.0247224,1.06666,0.15131,0.15131
16655,Silicon Valley Power (City of Santa Clara),CA,0.0855008,0.0961636,0.0861542,0.08547,0.0742531,0.0698817,0.0796672,0.0924716,0.0975931,0.0818743,0.069971,0.0738192,0.0926809,5,10,0.00195478,0.00139621,1.21806,1.43015e-08,42.9196,0.247558,19.6517,8.30181,26.1797,0.830509,0.595576,0.0247224,1.06666,0.15131,0.15131
19397,City of Ukiah,CA,0.130511,0.0961636,0.0861542,0.08547,0.0742531,0.0698817,0.0796672,0.0924716,0.0975931,0.0818743,0.069971,0.0738192,0.0926809,5,10,0.00195478,0.00139621,1.21806,1.43015e-08,42.9196,0.247558,19.6517,8.30181,26.1797,0.830509,0.595576,0.0247224,1.06666,0.15131,0.15131
9216,Imperial Irrigation District (IID),CA,0.129377,0.057826,0.0473011,0.0457062,0.0473672,0.0457062,0.110632,0.155662,0.149159,0.139299,0.0884035,0.057257,0.0556813,5,10,0.002083,0.001444,1.25402,2.54E-08,40.3736,0.0492,31.4916,21.1766,4.4873,0.0331,0.3886,0.0032,1.9848,0.0117,0.0117
