utility_id,name,state,rate,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,summer_starting_month,summer_ending_month,nox_rate,so2_rate,co2_rate,mercury_rate,percent_coal,percent_oil,percent_gas,percent_nuclear,percent_hydro,percent_biomass,percent_wind,percent_solar,percent_geothermal,percent_other,percent_unknown
21093,3 Phases Energy Services,CA,0.074151806,0.096163648,0.0861542,0.085470029,0.074253147,0.069881655,0.079667222,0.092471612,0.097593107,0.08187432,0.069971034,0.073819164,0.092680863,5,10,0.001954776119403,0.001396208955224,1.21806479104478,0.000000014301493,42.91960448,0.247558209,19.65172239,8.301813433,26.17973582,0.830508955,0.595576119,0.024722388,1.066658209,0.151310448,0.151310448
6641,4-County Electric Power Assn,MS,0.091098775,0.097574496,0.072894828,0.079358339,0.067643004,0.061456653,0.082108618,0.099591011,0.112965753,0.108252258,0.072802442,0.062583059,0.082769538,5,10,0.002591,0.007225,1.494886,0.0000000253,65.7568,1.6783,2.4349,20.4166,8.8322,0.8654,0.0017,0,0,0.0142,0.0142
84,A & N Electric Coop,VA,0.111525865,0.095268016,0.087438827,0.084120857,0.068513252,0.062597678,0.078752261,0.105656248,0.110290722,0.080980485,0.068399469,0.071608786,0.086373398,5,10,,,,,,,,,,,,,,,
34,Abbeville City of,SC,0.101784656,0.096249964,0.084094728,0.07902772,0.067954873,0.065115608,0.085212682,0.102486673,0.109855861,0.094399845,0.067065273,0.065874593,0.082662181,5,10,0.002234387096774,0.006530596774194,1.39321396774193,0.00000002508871,57.34335484,2.085295161,9.391101613,23.91533226,5.191730645,1.776287097,0.010587097,0,0,0.196154839,0.196154839
55,Aberdeen City of,MS,0.063717259,0.096249964,0.084094728,0.07902772,0.067954873,0.065115608,0.085212682,0.102486673,0.109855861,0.094399845,0.067065273,0.065874593,0.082662181,5,10,0.002234387096774,0.006530596774194,1.39321396774193,0.00000002508871,57.34335484,2.085295161,9.391101613,23.91533226,5.191730645,1.776287097,0.010587097,0,0,0.196154839,0.196154839
54872,"Accent Energy Holdings, LLC",OH,0.151451095,0.100375544,0.090694833,0.086488877,0.075166274,0.064494772,0.076282965,0.094823226,0.092298987,0.072334111,0.070498373,0.077530106,0.099011931,5,10,0.00336825,0.00661975,1.74530625,0.00000003565,71.57695,1.30085,2.799775,16.413525,5.549425,1.56995,0.6666,0,0,0.10585,0.10585
16611,Access Energy Coop,IA,0.074396579,0.096249964,0.084094728,0.07902772,0.067954873,0.065115608,0.085212682,0.102486673,0.109855861,0.094399845,0.067065273,0.065874593,0.082662181,5,10,0.002234387096774,0.006530596774194,1.39321396774193,0.00000002508871,57.34335484,2.085295161,9.391101613,23.91533226,5.191730645,1.776287097,0.010587097,0,0,0.196154839,0.196154839
97,Adams Electric Coop,IL,0.108149794,0.096249964,0.084094728,0.07902772,0.067954873,0.065115608,0.085212682,0.102486673,0.109855861,0.094399845,0.067065273,0.065874593,0.082662181,5,10,0.002234387096774,0.006530596774194,1.39321396774193,0.00000002508871,57.34335484,2.085295161,9.391101613,23.91533226,5.191730645,1.776287097,0.010587097,0,0,0.196154839,0.196154839
40220,Adams Electric Cooperative Inc,PA,0.098099531,0.095268016,0.087438827,0.084120857,0.068513252,0.062597678,0.078752261,0.105656248,0.110290722,0.080980485,0.068399469,0.071608786,0.086373398,5,10,,,,,,,,,,,,,,,
118,"Adams Rural Electric Coop, Inc",OH,0.105620516,0.105407575,0.095137088,0.089107157,0.069737925,0.062614239,0.073213198,0.092868063,0.096311428,0.068035651,0.067012196,0.08016166,0.100393822,5,10,0.0026604,0.0085516,1.5842474,0.00000003754,69.77975,0.75838,7.20283,19.37884,1.25787,1.06599,0.02933,0,0,0.48329,0.48329
108,Adams-Columbia Electric Coop,WI,0.101876361,0.09407726,0.082964347,0.082172529,0.070448508,0.068228763,0.080120947,0.105699459,0.103654843,0.072949292,0.070673335,0.080557688,0.088453029,5,10,0.0029539,0.0078763,1.7939403,0.0000000363,75.60898,1.36359,3.47813,14.73339,2.4644,1.96514,0.07971,0,0,0.25507,0.25507
150,Adrian Public Utilities Comm,MN,0.084637465,0.097632015,0.092262085,0.088855827,0.074505978,0.065025152,0.073324618,0.089280534,0.092331325,0.072701757,0.070751701,0.083598444,0.099730563,5,10,0.0037916,0.00594192,1.81560636,0.000000042796,74.496968,0.64674,1.937384,15.9225,4.686548,0.951816,1.218908,0,0,0.136312,0.136312
